person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,cb_person_default_on_file,loan_status
25,9600,MORTGAGE,1.0,MEDICAL,C,N,1
23,65500,RENT,4.0,MEDICAL,C,N,1
24,54400,RENT,8.0,MEDICAL,C,Y,1
26,77100,RENT,8.0,EDUCATION,B,N,1
24,78956,RENT,5.0,MEDICAL,B,N,1
24,83000,RENT,8.0,PERSONAL,A,N,1
22,85000,RENT,6.0,VENTURE,B,N,1
23,95000,RENT,2.0,VENTURE,A,N,1
23,115000,RENT,2.0,EDUCATION,A,N,0
23,120000,RENT,0.0,EDUCATION,A,N,0
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,N,1
24,10800,MORTGAGE,8.0,EDUCATION,B,N,1
22,65000,RENT,4.0,EDUCATION,D,N,1
22,80000,RENT,3.0,PERSONAL,D,Y,1
25,120000,RENT,2.0,VENTURE,A,N,0
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,Y,1
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,N,1
26,80690,RENT,8.0,PERSONAL,A,N,1
22,66300,RENT,4.0,MEDICAL,B,N,1
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,N,1
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,Y,1
23,92004,RENT,6.0,PERSONAL,C,Y,1
23,97000,RENT,7.0,VENTURE,B,N,1
25,120000,RENT,9.0,EDUCATION,A,N,0
25,128000,RENT,9.0,PERSONAL,A,N,0
21,131000,RENT,0.0,VENTURE,A,N,0
22,70000,RENT,6.0,EDUCATION,D,N,1
22,12000,MORTGAGE,7.0,EDUCATION,D,Y,0
22,56950,RENT,6.0,MEDICAL,A,N,1
23,65000,RENT,2.0,EDUCATION,A,N,1
26,85000,RENT,2.0,VENTURE,A,N,1
22,88000,RENT,6.0,VENTURE,B,N,1
24,83004,RENT,0.0,VENTURE,D,Y,1
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,N,0
26,110000,RENT,10.0,EDUCATION,A,N,0
22,108000,RENT,6.0,EDUCATION,B,N,1
22,70000,RENT,4.0,EDUCATION,C,Y,1
26,73200,RENT,5.0,VENTURE,D,Y,1
24,83000,RENT,5.0,PERSONAL,C,Y,1
24,73399,RENT,0.0,VENTURE,D,N,1
23,62500,RENT,7.0,MEDICAL,B,N,1
23,120000,RENT,1.0,EDUCATION,B,N,0
22,60000,RENT,0.0,VENTURE,B,N,1
23,83000,RENT,7.0,EDUCATION,B,N,1
21,42500,RENT,3.0,EDUCATION,C,Y,1
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,N,1
22,42000,RENT,6.0,MEDICAL,D,Y,1
26,48000,RENT,2.0,EDUCATION,B,N,1
21,49000,RENT,4.0,EDUCATION,B,N,1
22,49464,RENT,5.0,PERSONAL,B,N,1
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,N,1
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,N,1
23,50000,RENT,1.0,VENTURE,B,N,1
22,50004,RENT,0.0,VENTURE,B,N,1
22,50004,RENT,3.0,VENTURE,C,N,1
22,52000,RENT,2.0,EDUCATION,B,N,1
23,52000,RENT,1.0,PERSONAL,C,N,1
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,N,1
22,53000,RENT,5.0,EDUCATION,C,Y,1
23,13200,MORTGAGE,2.0,EDUCATION,B,N,0
22,54996,RENT,6.0,EDUCATION,B,N,1
23,55000,RENT,4.0,EDUCATION,B,N,1
23,55000,RENT,4.0,EDUCATION,D,Y,1
24,55164,RENT,8.0,PERSONAL,C,Y,1
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,N,1
24,60000,RENT,0.0,PERSONAL,B,N,1
24,60000,RENT,2.0,PERSONAL,B,N,1
26,54000,RENT,7.0,DEBTCONSOLIDATION,D,Y,1
23,60000,RENT,3.0,PERSONAL,C,N,1
23,60000,RENT,7.0,PERSONAL,B,N,1
21,60000,RENT,6.0,EDUCATION,B,N,1
25,61959,RENT,9.0,MEDICAL,C,N,1
24,66000,RENT,3.0,EDUCATION,B,N,1
22,66000,RENT,6.0,EDUCATION,C,Y,1
26,66996,RENT,10.0,PERSONAL,D,Y,1
23,67000,RENT,3.0,EDUCATION,A,N,1
24,67000,RENT,2.0,VENTURE,B,N,1
24,68000,RENT,5.0,PERSONAL,D,Y,1
25,69000,RENT,9.0,PERSONAL,D,N,1
25,69996,RENT,9.0,EDUCATION,D,N,1
24,70000,RENT,3.0,EDUCATION,B,N,1
24,56100,RENT,7.0,MEDICAL,D,N,1
25,66000,RENT,9.0,VENTURE,D,Y,1
25,72612,RENT,9.0,MEDICAL,C,N,1
23,74000,RENT,3.0,MEDICAL,B,N,1
25,75000,RENT,9.0,DEBTCONSOLIDATION,B,N,1
24,75000,RENT,4.0,EDUCATION,B,N,1
22,71000,RENT,1.0,EDUCATION,D,Y,1
23,78000,RENT,7.0,DEBTCONSOLIDATION,C,Y,1
23,78000,RENT,1.0,VENTURE,B,N,1
23,78504,RENT,7.0,VENTURE,B,N,1
24,62050,RENT,8.0,MEDICAL,D,Y,1
23,79416,RENT,7.0,VENTURE,D,Y,1
24,79631,RENT,8.0,PERSONAL,D,Y,1
24,79632,RENT,0.0,EDUCATION,C,N,1
21,14400,MORTGAGE,0.0,MEDICAL,C,N,0
24,80000,RENT,6.0,EDUCATION,A,N,1
26,80000,RENT,5.0,DEBTCONSOLIDATION,C,N,1
26,74004,RENT,10.0,DEBTCONSOLIDATION,D,Y,1
25,81000,RENT,5.0,DEBTCONSOLIDATION,A,N,1
23,81600,RENT,1.0,MEDICAL,B,N,1
24,82000,RENT,8.0,VENTURE,B,N,0
24,83000,RENT,5.0,EDUCATION,B,N,0
24,83000,RENT,5.0,PERSONAL,D,Y,0
24,85000,RENT,5.0,MEDICAL,B,N,0
23,14664,MORTGAGE,0.0,DEBTCONSOLIDATION,C,N,1
23,76000,RENT,7.0,DEBTCONSOLIDATION,D,N,1
23,66215,RENT,1.0,MEDICAL,D,Y,1
25,90000,RENT,9.0,MEDICAL,B,N,0
23,78000,RENT,2.0,VENTURE,D,Y,1
23,90000,RENT,0.0,DEBTCONSOLIDATION,B,N,0
24,79000,RENT,9.0,DEBTCONSOLIDATION,D,Y,1
24,91800,RENT,4.0,PERSONAL,C,Y,0
24,92000,RENT,1.0,VENTURE,C,Y,0
23,93600,RENT,3.0,VENTURE,D,N,0
23,15000,MORTGAGE,1.0,MEDICAL,C,Y,0
25,83800,RENT,2.0,DEBTCONSOLIDATION,D,Y,1
22,88000,RENT,6.0,DEBTCONSOLIDATION,D,Y,1
25,74800,RENT,2.0,MEDICAL,B,N,1
25,88000,RENT,0.0,VENTURE,D,N,1
26,88000,RENT,2.0,VENTURE,D,N,1
25,100000,RENT,1.0,VENTURE,B,N,0
23,15000,MORTGAGE,0.0,PERSONAL,C,N,1
24,102400,RENT,8.0,PERSONAL,B,N,0
23,93000,RENT,0.0,DEBTCONSOLIDATION,D,Y,1
21,15120,MORTGAGE,0.0,EDUCATION,B,N,0
26,110000,RENT,3.0,PERSONAL,C,Y,0
23,15204,MORTGAGE,7.0,PERSONAL,A,N,1
24,83300,RENT,0.0,MEDICAL,D,N,1
25,134300,RENT,3.0,MEDICAL,D,N,1
22,100580,RENT,6.0,DEBTCONSOLIDATION,D,Y,1
25,113000,RENT,7.0,MEDICAL,C,Y,0
24,120000,RENT,8.0,EDUCATION,B,N,0
25,120000,RENT,6.0,MEDICAL,B,N,0
23,120000,RENT,7.0,EDUCATION,B,N,0
24,91800,RENT,5.0,MEDICAL,D,Y,1
26,108000,RENT,2.0,PERSONAL,D,N,1
26,129996,RENT,6.0,PERSONAL,B,N,0
23,130000,RENT,4.0,EDUCATION,D,Y,0
